title,agency,bureau,spend
Mississippi River and Tributaries                               ,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,648 
"Chemical Agents and Munitions Destruction, Defense              ",Department of Defense--Military Programs                        ,Procurement,651 
"Medicare-Eligible Retiree Health Fund Contribution, National Gua",Department of Defense--Military Programs                        ,Military Personnel,654 
Native American housing block grant,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,654 
Peacekeeping operations,International Assistance Programs                               ,International Security Assistance,659 
Aeronautics                                                     ,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,660 
Medical and prosthetic research,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,673 
Space Technology                                                ,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,687 
Scientific and technical research and services,Department of Commerce                                          ,National Institute of Standards and Technology,687 
Payment to Issuer of Qualified School Construction Bonds        ,Department of the Treasury                                      ,Internal Revenue Service,700 
National Center for Advancing Translational Sciences,Department of Health and Human Services                         ,National Institutes of Health,706 
Science and technology,Environmental Protection Agency                                 ,Environmental Protection Agency,707 
Federal payments to railroad retirement accounts,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,711 
Health care fraud and abuse control account,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,725 
Financial Agent Services                                        ,Department of the Treasury                                      ,Fiscal Service                                                  ,725 
Salaries and expenses,Smithsonian Institution                                         ,Smithsonian Institution                                         ,729 
National Eye Institute (Health research),Department of Health and Human Services                         ,National Institutes of Health,733 
Operating Expenses                                              ,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,736 
English Language Acquisition                                    ,Department of Education                                         ,Office of English Language Acquisition,737 
"Reserve personnel, Marine Corps",Department of Defense--Military Programs                        ,Military Personnel,749 
Allied contributions and cooperation account,Department of Defense--Military Programs                        ,Operation and Maintenance,749 
National guard and reserve equipment,Department of Defense--Military Programs                        ,Procurement,750 
"Procurement, Construction, and Improvements, CBP                ",Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,750 
"Procurement of ammunition, Navy and Marine Corps",Department of Defense--Military Programs                        ,Procurement,751 
"Medicare-Eligible retiree health fund contribution, Marine Corps",Department of Defense--Military Programs                        ,Military Personnel,766 
Uranium enrichment decontamination and decommissioning fund,Department of Energy                                            ,Energy Programs,768 
National service life insurance fund,Department of Veterans Affairs                                  ,Benefits Programs,775 
International Broadcasting Operations                           ,Broadcasting Board of Governors                                 ,Broadcasting Board of Governors                                 ,777 
Other defense activities,Department of Energy                                            ,Environmental and Other Defense Activities,782 
"Grants for Specified Energy Property in Lieu of Tax Credits, Rec",Department of the Treasury                                      ,Departmental Offices,791 
National Institute of Environmental Health Sciences (Health research),Department of Health and Human Services                         ,National Institutes of Health,791 
Federal aid in wildlife restoration,Department of the Interior                                      ,United States Fish and Wildlife Service,794 
Contract Support Costs                                          ,Department of Health and Human Services                         ,Indian Health Service                                           ,800 
Health resources and services,Department of Health and Human Services                         ,Health Resources and Services Administration,839 
The Department of Defense Environmental Restoration Accounts,Department of Defense--Military Programs                        ,Operation and Maintenance,840 
Assets forfeiture fund,Department of Justice                                           ,Legal Activities and U.S. Marshals,844 
Operations,Department of Transportation                                    ,Federal Aviation Administration,853 
Research and education activities,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,855 
Private Lands Conservation Operations                           ,Department of Agriculture                                       ,Natural Resources Conservation Service,864 
Operation of Indian programs,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,879 
Education and human resources,National Science Foundation                                     ,National Science Foundation,880 
Nuclear Energy                                                  ,Department of Energy                                            ,Energy Programs,880 
Innovation and Improvement                                      ,Department of Education                                         ,Office of Innovation and Improvement,888 
"Salaries and expenses, General Legal Activities",Department of Justice                                           ,Legal Activities and U.S. Marshals,898 
Millennium Challenge Corporation                                ,International Assistance Programs                               ,Millennium Challenge Corporation,905 
Home investment partnership program,Department of Housing and Urban Development                     ,Community Planning and Development,950 
Salaries and expenses,Department of Agriculture                                       ,Animal and Plant Health Inspection Service,952 
CDC-Wide Activities and Program Support                         ,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,957 
Foreign Service retirement and disability fund,Department of State                                             ,Administration of Foreign Affairs,957 
"Operation and maintenance, Navy Reserve",Department of Defense--Military Programs                        ,Operation and Maintenance,959 
"Nonproliferation, antiterrorism, demining, and related programs",International Assistance Programs                               ,International Security Assistance,971 
"Assistance for Europe, Eurasia and Central Asia                 ",International Assistance Programs                               ,Agency for International Development,976 
"Operations and Support, FEMA                                    ",Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,1001 
Wildland Fire Management                                        ,Department of the Interior                                      ,Department-Wide Programs                                        ,1008 
"Funds for strengthening markets, income, and supply (section 32)",Department of Agriculture                                       ,Agricultural Marketing Service,1010 
Salaries and expenses,Department of Agriculture                                       ,Food Safety and Inspection Service,1032 
Payment to the hazardous substance superfund,Environmental Protection Agency                                 ,Environmental Protection Agency,1044 
Defender services,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",1045 
"Operations and Support, NPPD                                    ",Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,1080 
Management of lands and resources,Department of the Interior                                      ,Bureau of Land Management,1080 
"Surveys, investigations, and research",Department of the Interior                                      ,United States Geological Survey,1085 
Hazardous Substance Superfund                                   ,Environmental Protection Agency                                 ,Environmental Protection Agency,1089 
National Institute on Drug Abuse,Department of Health and Human Services                         ,National Institutes of Health,1091 
Unemployment Trust Fund                                         ,Department of Labor                                             ,Employment and Training Administration,1096 
Water and related resources,Department of the Interior                                      ,Bureau of Reclamation,1150 
United States Victims of State Sponsored Terrorism Fund         ,Department of Justice                                           ,Legal Activities and U.S. Marshals,1166 
National network grants to Amtrak,Department of Transportation                                    ,Federal Railroad Administration,1167 
Salaries and expenses,Department of Agriculture                                       ,Agricultural Research Service,1170 
Salaries and expenses,Legislative Branch                                              ,House of Representatives,1189 
Contribution to the International Development Association,International Assistance Programs                               ,Multilateral Assistance,1197 
Periodic censuses and programs,Department of Commerce                                          ,Bureau of the Census,1197 
Salaries and expenses,Department of Agriculture                                       ,Farm Service Agency,1209 
"Drug Interdiction and Counter-Drug Activities, Defense          ",Department of Defense--Military Programs                        ,Operation and Maintenance,1214 
Operation of Indian programs,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,1219 
Energy employees occupational illness compensation fund,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,1227 
"Salaries and expenses, United States Marshals Service",Department of Justice                                           ,Legal Activities and U.S. Marshals,1249 
International narcotics control and law enforcement,Department of State                                             ,Other,1255 
Salaries and expenses,Department of Justice                                           ,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",1259 
Resource management,Department of the Interior                                      ,United States Fish and Wildlife Service,1264 
Health care fraud and abuse control account,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,1273 
"Acquisition, construction, and improvements",Department of Homeland Security                                 ,United States Coast Guard,1279 
State and local law enforcement assistance,Department of Justice                                           ,Office of Justice Programs,1279 
"Refunding internal revenue collections, interest",Department of the Treasury                                      ,Internal Revenue Service,1300 
Harbor maintenance trust fund,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,1301 
"Medicare-Eligible retiree health fund contribution, Air Force   ",Department of Defense--Military Programs                        ,Military Personnel,1319 
Impact aid,Department of Education                                         ,Office of Elementary and Secondary Education,1329 
Naval Reactors,Department of Energy                                            ,National Nuclear Security Administration,1345 
"Medicare-Eligible retiree health fund contribution, Navy        ",Department of Defense--Military Programs                        ,Military Personnel,1352 
Contributions to international organizations,Department of State                                             ,International Organizations and Conferences,1359 
Operating expenses of the Agency for International Development,International Assistance Programs                               ,Agency for International Development,1364 
National Institute of Child Health and Human Development (Health researc,Department of Health and Human Services                         ,National Institutes of Health,1380 
Rental assistance program,Department of Agriculture                                       ,Rural Housing Service,1405 
Federal prisoner detention,Department of Justice                                           ,Legal Activities and U.S. Marshals,1430 
Patient-Centered Outcomes Research Trust Fund                   ,Patient-Centered Outcomes Research Trust Fund                   ,Patient-Centered Outcomes Research Trust Fund                   ,1464 
"Military construction, Navy and Marine Corps                    ",Department of Defense--Military Programs                        ,Military Construction,1465 
Mineral Leasing and Associated Payments                         ,Department of the Interior                                      ,Departmental Offices                                            ,1481 
Public health and social services emergency fund                ,Department of Health and Human Services                         ,Departmental Management,1518 
Emergency relief program                                        ,Department of Transportation                                    ,Federal Highway Administration,1532 
National forest system,Department of Agriculture                                       ,Forest Service,1550 
Student aid administration,Department of Education                                         ,Office of Federal Student Aid                                   ,1575 
National Institute of Mental Health,Department of Health and Human Services                         ,National Institutes of Health,1602 
Retired Pay,Department of Homeland Security                                 ,United States Coast Guard,1604 
"Procurement, Marine Corps",Department of Defense--Military Programs                        ,Procurement,1638 
Social services block grant,Department of Health and Human Services                         ,Administration for Children and Families,1662 
Office of the Director (Health research),Department of Health and Human Services                         ,National Institutes of Health,1678 
Job Corps                                                       ,Department of Labor                                             ,Employment and Training Administration,1704 
"Career, technical and adult education                           ",Department of Education                                         ,"Office of Career, Technical, and Adult Education                ",1721 
Construction,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,1723 
"Reserve personnel, Air Force",Department of Defense--Military Programs                        ,Military Personnel,1747 
TV Broadcaster Relocation Fund,Federal Communications Commission                               ,Federal Communications Commission                               ,1750 
"Operations and Support, CBP                                     ",Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,1757 
"Military construction, Air Force",Department of Defense--Military Programs                        ,Military Construction,1771 
National Institute of Neurological Disorders and Stroke (Health research,Department of Health and Human Services                         ,National Institutes of Health,1784 
National Institute of General Medical Sciences (Health research),Department of Health and Human Services                         ,National Institutes of Health,1826 
National railroad retirement investment trust,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,1828 
Student aid administration,Department of Education                                         ,Office of Federal Student Aid                                   ,1857 
"Military construction, Defense-wide",Department of Defense--Military Programs                        ,Military Construction,1858 
National Institute of Diabetes and Digestive and Kidney Diseases (Health,Department of Health and Human Services                         ,National Institutes of Health,1871 
"Operations and Support, USSS                                    ",Department of Homeland Security                                 ,United States Secret Service,1871 
Defense nuclear nonproliferation,Department of Energy                                            ,National Nuclear Security Administration,1880 
Food for Peace Title II Grants                                  ,Department of Agriculture                                       ,Foreign Agricultural Service,1900 
Contributions for international peacekeeping activities,Department of State                                             ,International Organizations and Conferences,1908 
Commodity Credit Corporation fund,Department of Agriculture                                       ,Farm Service Agency,1911 
Aging and Disability Services Programs                          ,Department of Health and Human Services                         ,Administration for Community Living                             ,1919 
"Reserve personnel, Navy",Department of Defense--Military Programs                        ,Military Personnel,1933 
"Working Capital Fund, Army                                      ",Department of Defense--Military Programs                        ,Revolving and Management Funds,1939 
Public housing capital fund,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,1942 
"Medicare-Eligible retiree health fund contribution, Army        ",Department of Defense--Military Programs                        ,Military Personnel,1955 
Refugee and entrant assistance,Department of Health and Human Services                         ,Administration for Children and Families,1975 
"Salaries and expenses, United States Attorneys",Department of Justice                                           ,Legal Activities and U.S. Marshals,2035 
National Institute on Aging (Health research),Department of Health and Human Services                         ,National Institutes of Health,2049 
Higher education,Department of Education                                         ,Office of Postsecondary Education,2055 
Energy Efficiency and Renewable Energy                          ,Department of Energy                                            ,Energy Programs,2073 
Salaries and expenses,Department of Justice                                           ,Drug Enforcement Administration,2101 
"Procurement of ammunition, Air Force",Department of Defense--Military Programs                        ,Procurement,2134 
Taxpayer Services,Department of the Treasury                                      ,Internal Revenue Service,2157 
Operation and maintenance,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,2207 
"Procurement of ammunition, Army",Department of Defense--Military Programs                        ,Procurement,2218 
"Procurement, acquisition and construction",Department of Commerce                                          ,National Oceanic and Atmospheric Administration,2237 
Crime victims fund,Department of Justice                                           ,Office of Justice Programs,2247 
Homeless assistance grants,Department of Housing and Urban Development                     ,Community Planning and Development,2383 
Capital investment grants,Department of Transportation                                    ,Federal Transit Administration,2413 
Operation of the national park system,Department of the Interior                                      ,National Park Service,2425 
Federal Disability Insurance Trust Fund                         ,Social Security Administration                                  ,Social Security Administration,2533 
DOD operation & maintenance,Department of Defense--Military Programs                        ,Operation and Maintenance,2554 
Environmental programs and management,Environmental Protection Agency                                 ,Environmental Protection Agency,2598 
Payment to the Resolution Funding Corporation                   ,Department of the Treasury                                      ,Fiscal Service                                                  ,2628 
"Missile procurement, Air Force",Department of Defense--Military Programs                        ,Procurement,2632 
"Space Procurement, Air Force                                    ",Department of Defense--Military Programs                        ,Procurement,2653 
"Procurement of weapons and tracked combat vehicles, Army",Department of Defense--Military Programs                        ,Procurement,2686 
Unemployment Trust Fund                                         ,Department of Labor                                             ,Employment and Training Administration,2694 
Payment Where Certain Tax Credits Exceed Liability for Corporate,Department of the Treasury                                      ,Internal Revenue Service,2714 
"Missile procurement, Army",Department of Defense--Military Programs                        ,Procurement,2748 
"Safety, Security and Mission Services                           ",National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,2769 
Salaries and expenses,Department of Health and Human Services                         ,Food and Drug Administration,2779 
"Operation and maintenance, Army Reserve",Department of Defense--Military Programs                        ,Operation and Maintenance,2783 
Federal Hospital Insurance Trust Fund                           ,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,2817 
"General Operating Expenses, Veterans Benefits Administration    ",Department of Veterans Affairs                                  ,Departmental Administration,2844 
Facilities and equipment (Airport and airway trust fund),Department of Transportation                                    ,Federal Aviation Administration,2855 
Payments to States for the child care and development block gran,Department of Health and Human Services                         ,Administration for Children and Families,2856 
"Federal Assistance, FEMA                                        ",Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,2905 
Child care entitlement to States,Department of Health and Human Services                         ,Administration for Children and Families,2917 
Development Assistance Program                                  ,International Assistance Programs                               ,Agency for International Development,2945 
"Embassy security, construction, and maintenance",Department of State                                             ,Administration of Foreign Affairs,3011 
Wildland fire management,Department of Agriculture                                       ,Forest Service,3117 
Rehabilitation Services                                         ,Department of Education                                         ,Office of Special Education and Rehabilitative Services,3164 
"National Heart, Lung and Blood Institute (Health research)",Department of Health and Human Services                         ,National Institutes of Health,3207 
"Operation and maintenance, Air Force Reserve",Department of Defense--Military Programs                        ,Operation and Maintenance,3242 
Training and employment services,Department of Labor                                             ,Employment and Training Administration,3264 
Federal Old-age and Survivors Insurance Trust Fund              ,Social Security Administration                                  ,Social Security Administration,3274 
"National Guard personnel, Air Force",Department of Defense--Military Programs                        ,Military Personnel,3289 
Grants-in-aid for airports (Airport and airway trust fund),Department of Transportation                                    ,Federal Aviation Administration,3350 
Migration and refugee assistance,Department of State                                             ,Other,3366 
"Weapons procurement, Navy",Department of Defense--Military Programs                        ,Procurement,3386 
Low income home energy assistance,Department of Health and Human Services                         ,Administration for Children and Families,3390 
Payment Where American Opportunity Credit Exceeds Liability for ,Department of the Treasury                                      ,Internal Revenue Service,3443 
"Build America Bond Payments, Recovery Act                       ",Department of the Treasury                                      ,Internal Revenue Service,3465 
Salaries and expenses,Department of Justice                                           ,Federal Bureau of Investigation,3479 
"Operations, research, and facilities",Department of Commerce                                          ,National Oceanic and Atmospheric Administration,3480 
Farm security and rural investment programs,Department of Agriculture                                       ,Natural Resources Conservation Service,3499 
State and tribal assistance grants,Environmental Protection Agency                                 ,Environmental Protection Agency,3566 
Federal Supplementary Medical Insurance Trust Fund              ,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,3574 
Substance abuse and mental health services,Department of Health and Human Services                         ,Substance Abuse and Mental Health Services Administration,3619 
Operations Support,Department of the Treasury                                      ,Internal Revenue Service,3638 
Postal Service retiree health benefits fund                     ,Office of Personnel Management                                  ,Office of Personnel Management,3687 
Indian Health Services,Department of Health and Human Services                         ,Indian Health Service                                           ,3694 
Primary Health Care Access                                      ,Department of Health and Human Services                         ,Health Resources and Services Administration,3795 
FHA-general and special risk program account,Department of Housing and Urban Development                     ,Housing Programs,3916 
"Claims, Judgments, and Relief Acts                              ",Department of the Treasury                                      ,Fiscal Service                                                  ,4000 
Supplemental security income program,Social Security Administration                                  ,Social Security Administration,4002 
"Operations and Support, CIS                                     ",Department of Homeland Security                                 ,Citizenship and Immigration Services,4042 
Afghanistan security forces fund                                ,Department of Defense--Military Programs                        ,Operation and Maintenance,4113 
International Disaster Assistance                               ,International Assistance Programs                               ,Agency for International Development,4125 
Payments to States for child support enforcement and family supp,Department of Health and Human Services                         ,Administration for Children and Families,4185 
Enforcement,Department of the Treasury                                      ,Internal Revenue Service,4223 
Information technology systems                                  ,Department of Veterans Affairs                                  ,Departmental Administration,4263 
"Troubled Asset Relief Program, Housing Programs                 ",Department of the Treasury                                      ,Departmental Offices,4279 
Exploration                                                     ,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,4324 
Public housing operating fund,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,4400 
School Improvement Programs                                     ,Department of Education                                         ,Office of Elementary and Secondary Education,4408 
Economic Support and Development Fund                           ,International Assistance Programs                               ,International Security Assistance,4414 
Risk Adjustment Program Payments                                ,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,4541 
"Reserve personnel, Army",Department of Defense--Military Programs                        ,Military Personnel,4568 
Victims Compensation Fund                                       ,Department of Justice                                           ,Legal Activities and U.S. Marshals,4600 
"Operations and Support, TSA                                     ",Department of Homeland Security                                 ,Transportation Security Administration                          ,4609 
Transitional Reinsurance Program                                ,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,4675 
National Institute of Allergy and Infectious Diseases (Health research),Department of Health and Human Services                         ,National Institutes of Health,4907 
Space Operations                                                ,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,4951 
Salaries and expenses,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",4996 
Salaries and expenses,Department of Justice                                           ,Federal Bureau of Investigation,5096 
"Aircraft procurement, Army",Department of Defense--Military Programs                        ,Procurement,5168 
Community development fund,Department of Housing and Urban Development                     ,Community Planning and Development,5269 
Medical Facilities,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,5278 
Health resources and services,Department of Health and Human Services                         ,Health Resources and Services Administration,5374 
National Cancer Institute (Health research),Department of Health and Human Services                         ,National Institutes of Health,5389 
Rail industry pension fund,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,5390 
Science,Department of Energy                                            ,Energy Programs,5392 
"Special supplemental nutrition program for women, infants, and c",Department of Agriculture                                       ,Food and Nutrition Service,5500 
"Procurement, Defense-wide",Department of Defense--Military Programs                        ,Procurement,5633 
Payment to Department of Defense Medicare-eligible retiree healt,Other Defense Civil Programs                                    ,Retiree Health Care,5670 
Science                                                         ,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,5765 
CDC-Wide Activities and Program Support                         ,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,5950 
Research and related activities,National Science Foundation                                     ,National Science Foundation,5966 
Defense environmental cleanup                                   ,Department of Energy                                            ,Environmental and Other Defense Activities,5968 
Foreign military financing program,International Assistance Programs                               ,International Security Assistance,6170 
"Operations and Support, ICE                                     ",Department of Homeland Security                                 ,U.S. Immigration and Customs Enforcement                        ,6346 
Medical Support and Compliance                                  ,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,6472 
"Other procurement, Navy",Department of Defense--Military Programs                        ,Procurement,6504 
Operating expenses,Department of Homeland Security                                 ,United States Coast Guard,6536 
Disaster Relief Fund                                            ,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,6597 
"Operation and maintenance, Air National Guard",Department of Defense--Military Programs                        ,Operation and Maintenance,6658 
Concurrent receipt accrual payments to the Military Retirement F,Department of Defense--Military Programs                        ,Military Personnel,6769 
Federal crop insurance corporation fund,Department of Agriculture                                       ,Risk Management Agency,6994 
Salaries and expenses,Department of Justice                                           ,Federal Prison System,7009 
"Operation and maintenance, Army National Guard",Department of Defense--Military Programs                        ,Operation and Maintenance,7076 
Student financial assistance,Department of Education                                         ,Office of Federal Student Aid                                   ,7177 
Railroad social security equivalent benefit account,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,7281 
"Operation and maintenance, Marine Corps",Department of Defense--Military Programs                        ,Operation and Maintenance,7719 
Payments for Foster Care and Permanency                         ,Department of Health and Human Services                         ,Administration for Children and Families,7761 
"Other procurement, Army",Department of Defense--Military Programs                        ,Procurement,7867 
Medical Community Care                                          ,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,8075 
"National Guard personnel, Army",Department of Defense--Military Programs                        ,Military Personnel,8095 
Commodity Credit Corporation fund,Department of Agriculture                                       ,Farm Service Agency,8559 
"Research, Development, Test and Evaluation, Army                ",Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",8643 
Global Health Programs                                          ,Department of State                                             ,Other,8725 
Trust fund share of FAA activities (Airport and airway trust fun,Department of Transportation                                    ,Federal Aviation Administration,9173 
Weapons activities,Department of Energy                                            ,National Nuclear Security Administration,9243 
Diplomatic and consular programs,Department of State                                             ,Administration of Foreign Affairs,9609 
Universal service fund,Federal Communications Commission                               ,Federal Communications Commission                               ,10085 
Department of Defense Medicare-Eligible retiree health care fund,Other Defense Civil Programs                                    ,Retiree Health Care,10143 
Transit Formula Grants                                          ,Department of Transportation                                    ,Federal Transit Administration,10733 
Federal family education loan program account,Department of Education                                         ,Office of Federal Student Aid                                   ,10786 
Project-based Rental Assistance                                 ,Department of Housing and Urban Development                     ,Housing Programs,10816 
Children and families services programs,Department of Health and Human Services                         ,Administration for Children and Families,11294 
"Operations and Support, CBP                                     ",Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,11404 
"Government payment for annuitants, employees health benefits",Office of Personnel Management                                  ,Office of Personnel Management,12627 
Children's Health Insurance Fund                                ,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,12806 
"Military personnel, Marine Corps",Department of Defense--Military Programs                        ,Military Personnel,12921 
Special education,Department of Education                                         ,Office of Special Education and Rehabilitative Services,13064 
Readjustment benefits                                           ,Department of Veterans Affairs                                  ,Benefits Programs,14153 
"Aircraft procurement, Air Force",Department of Defense--Military Programs                        ,Procurement,15598 
Education for the Disadvantaged                                 ,Department of Education                                         ,Office of Elementary and Secondary Education,16144 
Temporary assistance for needy families,Department of Health and Human Services                         ,Administration for Children and Families,16683 
"Aircraft procurement, Navy",Department of Defense--Military Programs                        ,Procurement,16722 
FHA-mutual mortgage insurance program account,Department of Housing and Urban Development                     ,Housing Programs,17013 
"Research, Development, Test and Evaluation, Navy                ",Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",17510 
"Research, Development, Test and Evaluation, Defense-wide        ",Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",19156 
Payment Where Child Tax Credit Exceeds Liability for Tax        ,Department of the Treasury                                      ,Internal Revenue Service,19319 
Tenant based rental assistance                                  ,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,20292 
"Shipbuilding and conversion, Navy",Department of Defense--Military Programs                        ,Procurement,20856 
"Other procurement, Air Force",Department of Defense--Military Programs                        ,Procurement,22519 
Student financial assistance,Department of Education                                         ,Office of Federal Student Aid                                   ,22888 
Child nutrition programs,Department of Agriculture                                       ,Food and Nutrition Service,23170 
Federal Direct Student Loan Program Account                     ,Department of Education                                         ,Office of Federal Student Aid                                   ,24749 
"Research, Development, Test and Evaluation, Air Force           ",Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",27621 
"Military personnel, Navy",Department of Defense--Military Programs                        ,Military Personnel,28226 
"Military personnel, Air Force",Department of Defense--Military Programs                        ,Military Personnel,28848 
Unemployment Trust Fund                                         ,Department of Labor                                             ,Employment and Training Administration,31383 
Defense health program,Department of Defense--Military Programs                        ,Operation and Maintenance,33978 
Payments to social security trust funds,Social Security Administration                                  ,Social Security Administration,36220 
Payment to civil service retirement and disability fund,Office of Personnel Management                                  ,Office of Personnel Management,37465 
"Operation and maintenance, Defense-wide",Department of Defense--Military Programs                        ,Operation and Maintenance,39685 
Foreign military sales trust fund,International Assistance Programs                               ,Military Sales Program,40000 
Refundable Premium Tax Credit and Cost Sharing Reductions       ,Department of the Treasury                                      ,Internal Revenue Service,41616 
"Military personnel, Army",Department of Defense--Military Programs                        ,Military Personnel,42189 
Federal-aid highways,Department of Transportation                                    ,Federal Highway Administration,42851 
Medical services                                                ,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,47969 
"Operation and maintenance, Navy",Department of Defense--Military Programs                        ,Operation and Maintenance,48309 
"Operation and maintenance, Air Force",Department of Defense--Military Programs                        ,Operation and Maintenance,48799 
"Operation and maintenance, Army",Department of Defense--Military Programs                        ,Operation and Maintenance,52256 
Supplemental security income program,Social Security Administration                                  ,Social Security Administration,54920 
Military retirement fund,Other Defense Civil Programs                                    ,Military Retirement,57700 
